TIPLOC,Geography Description
GLNGCSD,Mark For Deletion
GLNGDEP,Gillingham Maintenance Depot
BNDON,Brandon
WSLE,West St Leonards
HFLPEVL,Hatfield Peverel
WNOTLEY,White Notley
BOPEEPJ,Bo Peep Jcn Signal Box
BSTD,Bearsted
RAYLEGH,Rayleigh
STLNRWS,St Leonards W S
WDHAMFR,South Woodham Ferrers
CRANDLP,Cranmore Down Loop
HASTPSD,Hastings Park Sidings
RAINHMK,Rainham Kt
OREE,Ore
LHONSEA,Leigh-On-Sea
WITHAME,Witham
HBRN,Hollingbourne
WITHMUL,Witham Up Loop
WITHMDL,Witham Down Loop
DOLEHAM,Doleham
HEADCRN,Headcorn
HEADUGL,Up Goods Loop
WTRSHMR,Wittersham Road
THOK,Three Oaks
HOCKLEY,Hockley Essex
TVST132,Plymouth Ground Signal 132
BSTEDMR,Recptn
BSTEDMS,Bury St Edmunds
CHLKWEL,Chalkwell
FAMBDGE,North Fambridge
GRAINFY,Foster Yeoman
GRAINBP,Bp Oil
NEWNGTN,Newington
GRAINTR,Thames Estuary Terminals
KELVEDN,Kelvedon
GRAIN,Grain (Old Station)
HRSM,Harrietsham
WCLIFF,Westcliff
THETFD,Thetford
ROCHFD,Rochford
GRAINTB,Grain Thamesport Bulk Terminal
SUDBURY,Sudbury Suffolk
PRITLWL,Prittlewell
STHCENT,Southend Central
STHEAIR,Southend Airport
STHVIC,Southend Victoria
SEVCDSN,Southend Vic Down Siding North
SEVCPOT,Southend Vic P O Terminal
SEVCDSS,Southen Vic Down Siding South
SEVCUSS,Southend Vic Up Siding South
SEVCUSN,Southend Vic Up Siding North
STNGWJN,Western Junction
LENHAM,Lenham
STHNDE,Southend East
WILDJN,Willingdon Junction
EJSTNGB,Eastern Junction
CHPWKSC,Chappel & Wakes Colne
CHPWKSM,Chappel & Wakes Colne Stm Musm
WINCHLS,Winchelsea
BURES,Bures
STNGMJN,Middle Junction
KMSLY,Kemsley
ALTHORN,Althorne
STNGDGL,Sittingbourne Down Goods Loop
STNGBRN,Sittingbourne
STNGV76,Signal E V 76
SWALE,Swale
SWAL107,Swale Signal Ev107
SHRNSSW,Sheerness Steel Co Ps
SHRNSME,Marcroft Engineering Ltd
QUENBRO,Queenborough
THOPBAY,Thorpe Bay
MRKSTEY,Marks Tey
MRKSTUL,Marks Tey Up Loop
MRKSTAR,Marks Tey Tarmac
QUENCLS,Mainland Car Distributors
RYEE,Rye
SHRNSOS,Sheerness-On-Sea
RIDHBS,Ridham Sidings
THUSTON,Thurston
PLUCKLY,Pluckley
SHBRYCS,Shoeburyness C.S.D.
SHBRYMD,Mod(Army)
RIDHAMD,Sittingbourne Ridham Dock Sdgs
SHBRYNS,Shoeburyness
BRNMONC,Burnham-On-Crouch
CRNG,Charing
TEYNHAM,Teynham
SMINCGB,Cegb
SMINSTR,Southminster
APDR,Appledore
HRLNGRD,Harling Road
HTFDSD,Hothfield Siding
ELMSWEL,Elmswell
CLCHUP,Colchester Up Passenger Loop
CLCHSTR,Colchester
CLCHUCS,Colchester Bridge Road
DERMUKF,Ukf Fertilisers
CLCHCSD,C & W Stabling & Servicing
CHRTLCN,Chart Leacon Level 5 Depot
CLCHSTY,Colchester Yard
CLCHRTN,Colchester Town
HMST,Ham Street & Orlestone
ASHFKGR,Gussett Road
ASHFKY,Ashford (Kent)
ASHFKI,Ashford International
ASHFDNS,Ashford Down Sigings
ASHFUPS,Ashford Up Sidings
FAVRBRD,Faversham Bk Road
CLCHHCD,Charringtons Coal Con Depot
CLCHHYT,Hythe(Essex)
FAVRDNR,Faversham Down Reception
FAVRSHM,Faversham
FAVRCHS,Faversham Drivers
ECLRDJS,Eccles Rd Johnston'S Sdg
ECLR,Eccles Road
FAVRUPS,Faversham Up Sidings
LYDDTWN,Lydd Town
WIVENHO,Wivenhoe
HAGHLYJ,Haughley Jn
WYEE,Wye
STWMRKT,Stowmarket
STWMDGL,Down Goods Loop
SELLING,Selling
ATTLBON,Attleborough
ALRESFD,Alresford (Essex)
DUNGENS,Dungeness
LYDCEGB,Nuclear Electric
CLMN,Chilham
HERRNGE,Herringe
NEEDHAM,Needham Market
MANNGTR,Manningtree
SPONRRW,Spooner Row
MANNTNJ,Manningtree North Jn
MANNTEJ,Manningtree East Jn
CHARTHM,Chartham
GTBNTLY,Great Bentley
WHSTBLE,Whitstable
YARMCHS,Carriage Sidings
WYMNDLA,Castle Cement
WYMNDHM,Wymondham
MISTLEY,Mistley
WENHNGR,Westenhanger
DISSRS,Diss Reception Sidings
DISS,Diss
CHSW,Chestfield & Swalecliffe
IPSWEPJ,Ipswich Europa Junction
IPSWBHJ,Ipswich Boss Hall Jn
CNTBW,Canterbury West
CNTBE,Canterbury East
WEELEY,Weeley
SDLG,Sandling
IPSWHJN,Ipswich Halifax Junction
IPSWCLQ,Ipswich Cliffe Quay
IPSWCLY,Br Lower Yard
IPSWICH,Ipswich
IPSWTFP,Fp
IPSWFDS,Ipswich Yard
IPSWRCP,Ipswich Reception
IPSWCHS,Ipswich Holding Sidings
IPSWSS,Ipswich Yard
SHRGHAM,Sheringham
SLWDJN,Saltwood Junction
HRNEBAY,Herne Bay
WSTRFLD,Westerfield
DOLMEST,Dollands Moor East
CONTJN,Continental Junction
CLACTCS,Carriage Sidings
CLACTON,Clacton-On-Sea
STURRY,Sturry
THPLESK,Thorpe-Le-Soken
WRABNES,Wrabness
DERBYRD,Derby Road Ipswich
WRUNTON,West Runton
BEKSBRN,Bekesbourne
CHUNEOB,Br/Eurotunnel Ops Boundary
FLKSTNW,Folkestone West
CHUNUKP,Channel Tunnel Portal (Gb)
CMER,Cromer
KIRBYX,Kirby Cross
FLKSTNC,Folkestone Central
RGHTNRD,Roughton Road
FLKSTNH,Folkestone Harbour
FLKSTNE,Folkstone East
ADISHAM,Adisham
JARRFHH,Tyne Dock
FRINTON,Frinton-On-Sea
PAIGDVL,Dart Valley Railway
FLKSETR,Folkestone East Train Road
RDNGCE,Track Welders Reading
STNICE,Carlisle St Nicholas
NRCHVIC,Norwich Victoria
NRCHCSD,Norwich Carriage Sidings
NRCHTC,Norwich Marshalling Yard
NRCHTMD,T&Rsmd
PRKSDTS,Parkeston Dn Through Sdg.
PRKSTHS,Locomotive Holding Sidings
PRKSTCT,Parkeston Quay Contnr Terml
NRCH,Norwich
NRCH149,Norwich Crown Point Sg Cp1498
NRCH141,Norwich Crown Point Sg Cp1491
TRWSSBJ,Trowse Swing Bridge
ALSHAM,Aylesham
SNWDNAN,Snowdown
PRKSCLS,Carless Refining & Marketing
PRKS021,Parkeston Sig P21
PRKSTON,Harwich International
PRKS211,Parkeston Sig P211
PRKSTM,Train Ferries
PRKSTNY,Parkeston Quay Yard
TROWSEJ,Norwich Trowse Junction
TROWSE,Norwich Trowse
PRKSTIP,Parkeston Tip Sidings
TROWFLR,Flordon Level Xing
WONNAZE,Walton-On-The-Naze
GUNTON,Gunton
DOVRCRT,Dovercourt
SWELL,Shepherds Well
HARWICH,Harwich Town
BRNHPSJ,Perry St Fork Jn
HASTWX,Hastings West Crossover
WHTLNGJ,Whitlingham
FLXSNFL,Felixstowe North Quay
FLXSSFL,Felixstowe Freightliners
WODBDGE,Woodbridge
TRIMLEY,Trimley
NWALSHL,North Walsham
NWALSHM,North Walsham
FLXSCRS,Creek Siding
MELTON,Melton
KSNY,Kearsney
SALHOUS,Salhouse
WORSTED,Worstead
BCNGNOS,Birchington-On-Sea
WROXHMR,Wroxham Recp
MINSTER,Minster_(Thanet)
WROXHAM,Hoveton & Wroxham
FLXSTOW,Felixstowe
BCKJN,Buckland Junction
DOVERPS,Dover Priory_Sidings
DOVERP,Dover Priory
MINSTSJ,South Junction
BRUNDLG,Brundall Gardens
MINSTEJ,East Junction
MINSTWJ,West Junction
STPXCSJ,St Pancras Camley St Jn
WESGTOS,Westgate-On-Sea
WCKHMMR,Wickham Market
BRUNDAL,Brundall
SWCH,Sandwich
BARHFHH,Barham Fhh
MMIL,Martin Mill
BURTNMH,West Yard
MINTYX,Minety Crossing
SHTLUP,Shettlestone Up
MARGATE,Margate
MARGCHS,Margate C H S
MEOLSLJ,St Lukes Junction
CREWLNW,Crewe C.S. (L&Nwr Site)
BUCKNHM,Buckenham
CARDDOC,Cardiff Docks Hcbenergy
GARSCE,Garsdale Urs (Ce)
LGWOOD,Lingwood
BRGHBAL,Brighton Ballast
APPLFHH,Appleford Fhh
WALMER,Walmer
RAMSGTE,Ramsgate
RAMSGTD,Ramsgate Traction Mtnce
DEAL,Deal
STPXTMC,Churchyard Sdgs Tarmac
CNTLEY,Cantley
SXMNDHM,Saxmundham
DUMPTNP,Dumpton Park
SXMNDHJ,Saxmundham Jn
SXMNDSG,Saxmundham Tamper Siding
HALSWTH,Halesworth
BRSR,Broadstairs
ACLE,Acle
DARSHAM,Darsham
BRAMPTN,Brampton
RDHAMN,Reedham (Norfolk)
GWCGRR,Gwaun-Cae-Gurwen Run Round
BLARDS,Blair Atholl Down Siding
BECCLES,Beccles
GNBAEWS,Goonbarrow Jn Dbc
TTNH104,Tottenham Sth Jn Sig L1004
CRKLLAF,Cricklewood Lafarge
BASCSDG,Baschurch
AISHXO,Aish Emergency Crossover
BURTWJN,Burton Wetmore Jn
WELISOM,Wellington (Somerset)
LTFDSD,Latchford Sidings
LTFDFHH,Latchford Sdgs
BARREWS,Barry Docks Dbc
HASL23,Haslemere Signal Ew23
SIZCEGB,Cegb (Metals)
COVNGHJ,Gibbet Hill Junction
THYMGF,Thorney Mill Ground Frame
THRNGMM,Thornton Yard Gm Mining
WHATHAP,Hapsford Ground Frame
STHAWLP,Southall W Loop & B'Ford Sdgs
SBCHDRS,Sandbach
NEWBRCE,Ce Siding (Racecourse)
LNGTSDG,Longtown
DARTWJN,Dartford West Junction
HADISCO,Haddiscoe
ASPTBRA,Brayton
LVRPGDE,Liverpool Gladstone Dock (Ews)
BRNYARM,Berney Arms
ASHBAWS,Ardwick West Sidings
SMRLYTN,Somerleyton
BORRVIA,Borrow Brook Viaduct
OULTNBS,Oulton Broad South
YARMTH,Great Yarmouth
STOKTNR,Longport Emsi
MSGTLPS,Moses Gate Loops
MIREJN,Mirehouse Junction
OULTNBN,Oulton Broad North
NBAR133,New Barnet Signal K133
HYWRDSS,Haywards Heath Dn Sdg Sth
MDCLURS,Midcalder Up Refuge Siding
RPLANEX,Ripple Lane Exch Sdgs
INVKDRS,Inverkeilor Down Refuge Siding
GLGCBSJ,Bridge Street Junction
TWERTON,Twerton
IPSWUDG,Ipswich Down And Up Goods
TRUROCE,Lee & Sons
OXLEDGL,Oxley Down Goods Loop
AVONCT,Avonmouth Ctr Terminal Ews
WLSDBLI,Willesden Bli Terminal
BMBRCE,Ce Siding
PRTCFHH,Port Clarence (Flhh)
PLYMBAL,Plymouth Ballast Sdgs
MRGMHOD,Margam Ho Track Renewals Depot
MRGMHOR,Margam Eng Sdg Repair Point
LOWSTFT,Lowestoft
LOWSTFR,Marshalling Freight
BLFDDCE,Blackford Down Siding
BTCHUCE,Betchworth Ce Up Siding
BRGE65,Bridgend Signal Pt3028
SNBKWYM,Wymington
CDON,Cegb
LVRPSTG,Liverpool Stanton Grove
ALDMCE,Tip
NMPTBST,Northampton Bridge St
CRYNANT,Crynant
WARHDS,Wareham Down Siding
JERSFHH,Jersey Marine (Flhh)
WELSRHY,Rhydwhimen L C
IMNGUSR,Immingham Yard Specific Users
RPLLACT,Ripple Lane Ctrl
POWELL,Powell
COPR105,Coppermill Jn Sig L1005
STBLHOS,St Blazey Henry Orchard & Sons
WRMNUS,Warminster
THNGSDG,Thingley Junction Brx
SPRNDRS,Springburn
WELHMXO,Marshmoor Crossover
PRKSUTC,Parkeston Tip Conciliation Gbf
NTHWFHH,Oakleigh Sidings
SCNT319,Scunthorpe Sig 319
CARLBRU,Carlisle Brunthill (Fhh)
BOWJ506,Bow Junction Signal L5069
NTAWTN,North Tawton
MRCHDRG,March Down R.S Gbrf
SOTDNLU,Southampton Docks Nlu
CNNGALC,Alconbury
GRNGDRS,Grangemouth Fpa
FGDHSDG,Carriage Servicing & Stabling
TRELEWS,Trelewis
RDNGWTR,Delete
PLMD771,Polmadie Signal G771
PBROGBF,Peterborough Maint Shed
NWALBPL,North Walsham Gbrf
WDRYJN,West Drayton Junction
RYLSGBF,Rylstone Tilcon
DOLMGET,Dollands Moor G.E.T
TONBDWG,Tonbridge West Yard Gbrf
SHRNFHH,Sheerness Steel Works Flhh
GRAINFG,Grain Foster Yeoman Gbrf
THBDPMD,Three Bridges P & Md
WATR030,London Waterloo Sig W1030
KGST412,Kingston Signal F412
ASHJ335,Ashton Jn Signal B335
SWANMCS,Maliphant Carr Svcg & Stabling
BARRHEX,Barry Docks Hexion
BARRBPC,Barry Docks Zeon
PENGFHH,Pengam Flt Cardiff Metals
SDONSMJ,Swindon South Marston Jn
PRIN200,Princes Risborough Me200
AIRD754,Airdrie
QPRKJ,Queen'S Park Junction
WLSD301,Willesden Sig 301 (Up Dc)
WLSDBRG,Willesden Brent Sdgs Gbrf
ACTNLRG,Acton Lane Rec Sdgs Gbrf
RUGBNBJ,Newbold Junction
RUGBHOK,High Oaks Junction
KNGSBCF,Birch Coppice Freightliner
WLNGDSG,Wellingborough Ds Gbrf
WLNGUSG,Wellingborough Up Tc Gbrf
BESTFHH,Beeston Sims Metals Fhh
FRMPRSG,Ferme Park Recep Lines Gbrf
BROXS14,Broxbourne Sig L1484
BROXS12,Broxbourne Sig L1226
DAGNMJN,Dagenham Junction
THET7,Thetford Signal T7
BOSTOND,Boston Docks
EDIN813,Edinburgh
DITTINO,Ditton
RAVNHDL,Ravenhead
TRFDFLI,Trafford Park I.F.T.
SCNTNPK,Dragonby Sidings
LAISWJN,Laisterdyke
SDFRUFH,Sudforth Lane
YORKGBF,Holgate Siding
LYNMACS,Lynemouth Coal Sidings
LNGANSB,Longannet S.B.
AVONWWF,Avonmouth No. 5 Wharf Ews
GWSYBAG,Gascoigne Wood
SELSDN,Selsdon (Test Trains)
BONENDJ,Bourne End Jn (Herts)
STBDERN,Mod (Navy) Ernsettle
STAFFNJ,Stafford North Jn
TVST199,Plymouth Ground Signal 199
AYNHUGL,Aynho Up Goods Loop
STAFTVJ,Stafford Trent Valley Jn
STAFTVJ,Stafford Trent Valley Jn
TONBPMY,Tonbridge Jubilee Sdg (Ars)
SPLOTJ,Splott Junction
ASHH331,Ash Signal Gd 1331
CAMBTGB,Cambridge T.C. Gbrf
WAANFLD,Walton & Anfield
STERTCE,St Erth Ce
NEATCE,Neath East
HAMLDRS,Hamilton Drs
WSTBCE,Permanant Way Depot Ce
BTHNLGW,Bethnal Green West Junction
ALNGEJN,Allington East Jn
SLNYBAL,Balderton Tunnel & Lc
DITTAHG,Ditton Foundry Lane (Ahc) Gbrf
PRIN159,Princes Risborough Me159
DOLMEB,Dollands Moor East Boundary
EFNG322,Effingham Jn Signal Gd1322
DYCERFM,Raiths Farm Fd_Dbs
DYCERFM,Raiths Farm Fd_Dbs
ELSMMWF,Manisty Wharf
AMPTNLS,Ampthill
HNTRDRS,Hunterston Drs
BNBRTS,Banbury Tamper Siding
BTNULH,Barton Under Needwood
HNDLGF1,Hindlow Ground Frame No.1
BRNKNOL,Brent Knoll
PERTMU,Ss
HASL15,Haslemere Signal Ew15
PENTCE,Penarth Curve
PRKLDG,Park Lodge
LOWSCE,Crd
AVONMTH,Avonmouth
AVONDKJ,Avonmouth Dock Jn
KIDWPY,Pontyates Level Crossing
WHMPDCL,West Hampstead Dcl
PBROVGB,Peterborough Virtual Quarry
THRNIHB,Thornton Yard I & H Brown
ELDRDRS,Elderslie Us
TIVITNL,Whiteball
PRTHCE,Ce Siding
LNDNBAL,London Bridge Ballast
SLSB217,Salisbury Signal Sy217
SHEFVIC,Sheffield Victoria
DRAXEWS,Drax Pfa Loading Point
HMTNJ,Hillmorton Junction
RBRTDS,Ce Siding
HONI21,Honiton Signal H21
GTHM283,Grantham Sig 1283
STRBDEP,Stourbridge Jn Depot
STAUSCE,St Austell Ce
CLIFLHH,Stud Farm (Fhh)
PBROSTL,Spital Sdgs
WYREVIA,Wyre Viaduct
RTHG890,Rutherglen
NEWBYD,Newbury Yard
BRDGUGF,Bridgwater Up Sdgs G F
WELSWBY,Westbury (Salop)
BETLRSB,Betley Road Sb
LARAST,Cs&Te Siding
STKGWMD,Stoke Gifford Wagon Maint Dep
PLPNLAS,Long Ashes
CANT637,Cardiff Canton Sdg Sig.C637
PURTON,Purton
MACHENR,Machen
MLFDOCK,Milford Haven Dk
HITC708,Hitchin Sig K708
STLN64,St Leonards Signal Bj64
STLN42,St Leonards Signal Bj42
TONB163,Tonbridge Signal Ad163
TONB164,Tonbridge Signal Ad164
TONB160,Tonbridge Signal Ad160
TONBES,Tonbridge Engineers Sidings
LANPORT,Langport Viaduct
GRAINGB,Grain Thamesport (Gbrf)
WBTNGBF,West Burton Ps (Gbrf)
DUNBUCE,Dunbar Up Sdgs Ce
BNBRYUS,Banbury Up Sidings
DALSCUM,Cummersdale Viaduct
BARDGBR,Bardon Hill Gbrf
WCALDRS,West Calder Down Refuge Sdg
BRHMUS,Barnham Up Sidings
ATHLNEY,Athelney Crossing
MLDOFHH,Meldon Quarry Fhh
BRDGDUN,Dunball
ROOSPHF,Park House Farm
TOPLEYP,Topley Pike
MOSEDRS,Mossend Yard
ELGHWJN,Eastleigh West Junction
OXLEUGL,Oxley Up Goods Loop
TLBYNHT,Tilbury Nfleet Hope Tl Dbc
TUNSFHH,Tunstead
TONB038,Tonbridge Signal Ad2038
SURB106,Surbiton Signal Wk1106
GLNGBTH,Beith
KGMRDRS,Carlisle Kingmoor Sidings(Drs)
WDRYLAF,West Drayton Lafarge
CNNGFHH,Connington Tip (Flhh)
BEDFDWR,Bedford Wash Road
CAMBCE,Ce Siding
CBORRXO,Roskear Junction
GERABJN,Pocket Nook Jn
DEALSDG,Deal Sidings
CMTHDSD,Carmarthen Down Sidings
HIRWAUN,Hirwaun Pond
LINCFHH,Lincoln Terrace Sidings Fhh
LMAR,Long Marton
OREESDG,Ore Siding
CLCH138,Stowmarket Signal Col 1385
PRKSUTP,Harwich Up Tip Sidings Gbf
TRECWN,Mod (Navy-Trecwn)
LANGEWS,Total Oil
STRBCS,Stourbridge Jn Sdgs
DOLMWB,Dollands Moor West Boundary
EUSKALS,East Usk Branch Alpha Steel
WIGTROS,Rosewain Lc
WHATFHH,Whatley Quarry F Liner H Haul
NWBGCE,Newbridge
OXTE306,Oxted Signal 306
KNOROTP,Ks Norton On Track Plant Depot
WRUICE,Recp/Ce Siding
WRGTRM2,Warrington Royal Mail (Gbrf)
BURTNMS,Burton Mosley Street
LEITSSS,Storage Services (Leith) Ltd
QUENSBS,Shipbreakers
HRLWFHH,Harlow Mill Fhh
LANDLHS,Loco H.S.
PTBRCAL,Portbury Coal Terminal Fhh
LOWFGBR,Low Fell Rmt
CHCHRC2,Chichester Recp No 2
HNTRLFL,Hunterston Ll (Clydeport)
PRYBRSJ,South Junction
SEAHAMH,Seaham Harbour
DUNADRS,Dunblane Down Refuge Siding
PWCKMGF,Monkton Sidings
CESTGBR,Chesterton Junction Gbrf
NEWHVM4,Newhaven Marine No 4 Siding
NEWHVM3,Newhaven Marine No 3 Sdg
OULTBNJ,Oulton Broad North Junction
CDDRDPL,Cadder Down Loop
LNGY209,Langley Jn K209 Signal
ABRDFUS,Ferryhill Sdg
BLDHU,Baldhu
PRKSREF,Harwich Refinery Crls Slvs
BEDFDCD,Bedford Cauldwell Depot
ABTHLAF,Aberthaw Cement Works Lafarge
EBSFACT,Ebbsfleet Ctrl
EUSKORB,East Usk Orb Works Ews
CBOMJAB,Castle Bromwich Jaguar
BLSVFHH,Bolsover Coalite & Chemicals
STFALX,St Fagans Level Crossing
BLTCWL,Bletchley Swanbourne Sdg
THRSCFH,Thoresby Colliery
EDINPRK,Edinburgh Park
LCKRUPS,Lockerbie Up Siding
LCKWSTJ,Leckwith South Jn
LCKWLOP,Leckwith Loop
DLTNDBP,Darlington Down Bypass
PTRSUS,Petersfield Up Siding
PTRS8,Petersfield Signal 8
OXENUGL,Oxenholme Up Goods Loop
OXENDGL,Oxenholme Down Goods Loop
THYMILF,Thorney Mill Db Cargo
CHATDGB,Chatham Dockyard Gbrf
SNTJ,St. James (Newcastle)
HMSHBRF,Hams Hall Gbrf
CROGAR,Crosby Garrett
CMAKREL,Charlton Mackrell
STOKNEW,Newcastle Jn (Staffs)
CERBERE,Cerbere
HNDAYE,Hendaye
DAXX,Dax
BORDSTJ,Bordeaux St Jean
BORDBAS,Bordeaux-Bastide
POITIER,Poitiers
LESAORL,Les Aubrais-Orleans  (France)
PERPROU,Perpignan Roussillon
NRBONNE,Narbonne
NIMES,France-Nimes
CHAMCLE,Chambery Challes Les Eaux
AVIGCMT,Avignon
AVIGVIL,Avignon Ville
MODANE,Mondane  (France)
AMBRIEU,Amberieu  (France)
BRGBRSE,Borge-En-Bresse  (France)
MULHING,Mulhouse Ile Napolean Gar
MULHNRD,Mulhouse Nord
LYONVEN,Lyon Venissieux
LYONGUI,Lyon Guillotiere
MACONVL,Macon-Ville  (France)
MNTBLRD,Montbeliard  (France)
DIJONPY,Dijon-Perrigny
CULMCHA,Culmont-Chalindrey  (France)
STRAHAU,Strasbourg Hausbergen
SARRBRG,Sarrebourg
METZ,Metz Ville
TOUL,Toul
FORBACH,Forbach
LNGON,Longuyon  (France)
VALENYD,Valenton Yard  (France)
PARILLA,Paris Le Lande Depot M&Ee
NOISLSC,Noisy-Le-Sec  (France)
GONESSE,Villiers-La-Bel-Gonesse(France
ACHERES,Acheres  (France)
PICARDE,Gare Picarde
PARISND,Paris Nord
LNGU,Longueau  (France)
CLVMEZR,Charleville-Mezieres
JEUMONT,Jeumont  (France)
AULNOYE,Aulnoye  (France)
TORCOIN,Tourcoing  (France)
SOMAINL,Somain  (France)
ARAS,Arras  (France)
LILLEFL,Lille Flandres
LILLE,Lille Nord-Europe
LILLDEL,Lille Deliverance
DONSAIN,Don Sainghin  (France)
BAISIEU,Baisieux  (France)
LENS,Lens  (France)
HAZEBCK,Hazebrouk  (France)
CALAVGV,Calais Ville Gare Voyageurs
CALAFD,Calais Frethun Depot
CALAFL,Calais Frethun (Local)
CALACE,Calais Coquelles Eurotunnel
CALAFT,Calais Frethun (Tunnel)
CALAFGV,Frethun
CALAEES,Calais Eurotunnel Emergency Sd
CALATSH,Calais Tunnel South H S
CHUNFRP,Channel Tunnel Portal (F)
CHUNFRC,Channel Tunnel Crossover (F)
VALADOL,Valladolid
MIRADEB,Miranda De Ebro
SILLA,Silla
VALNCIA,Valencia
TARRAGN,Tarragona
BARCEMR,Barcelona El Morrot
PRTBOU,Port Bou
BETTMBG,Bettembourg (Luxembourg)
ARLON,Arlon
NAMUR,Namur
LIEGE,Liege
MUIZEN,Muizen
BRUXFOR,Brussels Forest Depot M&Ee
BRUXMID,Bruxelles Midi
MERLBKE,Merelbeke
MOUSCRN,Mouscron
HLLE,Halle
ATHH,Ath
TOURNAI,Tournai
GLOSOVR,Gloucester Over Jn.
SURB104,Surbiton Signal Wk1104
HCKPFHH,Heck (Fhh)
AMSTDAM,Amsterdam Cs
AMSTSCH,Schipol
HOOFDOR,Hoofddorp
DNHAAG,Den Haag Hs
ROTTCS,Rotterdam Cs
ROSNDAL,Roosendaal
HONDEGM,Hondeghem
GREMBRG,Gremberg
EINSLHF,Einsiedlerhof
KOLNHBF,Cologne Hbf
RSNHEIM,Rosenheim
MUNCHEN,Munchen
NEUULM,Neu Ulm
STUTHAF,Stuttgart Hafen
MANHRAN,Mannheim Rangierbahnhof
MANHHAN,Mannheim Handelshafen
DILLING,Dillingen (Saarlouis)
AACHEN,Aachen
MINZHBF,Mainz Hbf
FRNKFRT,Frankfurt (Main) Hbf
KOBLENZ,Koblenz Hbf
VITTARL,Vittuone-Arluno
NOVARA,Novara
TORIORB,Torino Orbassano
MILANPI,Milano Pioltello
MILANSE,Milano Segrate
MILANRO,Milano Rogoredo
MILANML,Milano Melzo
BONNHBF,Bonn Hbf
BUSTARZ,Busto Arsizio
LUINO,Luino
DORTMND,Dortmund Hbf
BOCHUM,Bochum Hbf
ESSNHBF,Essen Hbf
DUISRH,Duisburg Ruhrort-Hafen
WIENNWB,Wien Nordwestbahnhof
STPOLTN,St Polten
DUSSDRF,Duesseldorf Hbf
SALZBRG,Salzburg
KOLNNIE,Koln Niehl
CHRXBAL,Charing Cross (Ballast)
GUIL635,Guildford Signal Gd635
RUFDFHH,Rufford No.1 Stocking Site
BRBGLP,Bromford Loop
BASEL,Basel
BASESGG,Basel Sbb Gb Gti
LINZ,Linz
BLTCSTE,S&Te Store
GRMS981,Pasture Street Sig 981
SRNAULC,Sarnau Level Crossing
FLYLDRS,Folly Lane
CRGNFHH,Craigentinny Nxec Fhh Facility
MRTNTAR,Moreton-On-Lugg (Tarmac)
EUSKBCH,Newport East Usk Branch
BGLWFHH,Burngullow (Flhh)
PATNEY,Patney & Westbury Jn
WIGTWAV,Waver Viaduct
CATHCE,Cathays Ce Sidings
WOKIUYD,Woking Up Yard
DRAXGBR,Drax Gb Railfreight
SDFRTUR,Sudforth Lane
FWLYFHH,Fawley Esso Fhh
MAINCE,Maindee Depot Ce
HULLFHH,Hull Yard
HRGYURV,Harringay Up Rev Sdgs
HRGY81,Harringay Up Rev Sdgs
CARLCWL,Whittalls (Warehousing)
TLBYSTO,Tilbury I.R.F.T (Dbc)
BRSTKFL,Bristol Kingsland Road Fhh
LLNWTMR,Llantwit Major
DOLMCTL,Dollands Moor Ctrl
STRBHDS,Stourbridge Jn Headshunt
BARDFHH,Bardon Hill Quarry Fhh
ILFE336,Ilford Signal L336
EGLSMSL,Eaglescliffe Marshalls
GLHMCE,Gillingham (Dorset) Isu(Ce)
PMBRLX,Pembrey Level Crossing
CRKLFHH,Cricklewood F/L Heavy Haul
SELBFHH,Selby (Flhh)
SDONSTG,Swindon Stratton Green
GRNBJN,Greenburn Jn
PLMD781,Polmadie Signal G781
PERTBAL,Gillon Bros
ILFEFLR,Ilford Emud Wheel Lathe Rd
SNGWUS,Singlewell Up Siding
FRNDNLT,Farringdon
FNTLSR,Farringdon
DONCWFL,Doncaster Works (Flhh)
BRGH257,Brighton Signal 1257
WOKI610,Woking Signal Wk610
MOTHBRS,Motherwell Bridge Sidings
DIRFDRS,Daventry Drs (Sains)
THYMFHH,Thorney Mill Fhh
STOKSID,Sideway Loop (Stoke)
WHMP605,West Hampstead Signal 605
WHMP467,West Hampstead Signal 467
CRUGWAL,Crugwallins Sidings
CRGIFHH,Aberdeen Craiginches Lafarge
BRDWJN,Bradwell Junction
STANCLJ,Stansted Coopers Lane Junction
SELBGBF,Selby (Gb Railfreight)
LNGY651,Langley Jn K651
RAWT,Rawtenstall (East Lancs Rlwy)
MBROEWS,Rotherham Masborough Ews
SHPDSB,Shepherds Bush
LUTOFHH,Luton Crescent Road
THBD206,Three Bridges Signal 1206
MOIRHGF,Moira Hicks Lodge Gf
STWTBS,Stewarts Lane Berthing Sdgs
HRTPE,Harthope
MOSESTR,P D Stirling
KENNFHH,Kennett (Fhh)
AYNH501,Aynho 501
STNTPLC,Stanton Plc
FROMNRS,Frome Network Rail Siding
CLPHPHS,Cpaham Jn Pig Hill Sdgs
GORG530,Gorgie Branch Sig Eh530
FARNF3,Farnham Signal Fn3
RPLLRRJ,Ripple Lane Renwick Rd Jn
ARDNFHH,Ardingly Hanson Aggregates
LEITHFH,Leith Sth Freightliner/Lafarge
HITCFHH,Hitchin Engineers Sidings
HORBMAF,Horbury Storrs Hill
IMNGMAF,Immingham Yard
BNBRUGL,Banbury Up Goods Loop
SHIL475,Shieldmuir Signal M475
BARRABP,Barry Docks Abp (Shipment)
